Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Tijuca;1;0;0;25;1400.0;310.0;0.0;56.0;Apartamento
Apartamento;Tijuca;2;1;0;60;1550.0;550.0;51.0;25.83;Apartamento
Apartamento;Tijuca;1;0;0;33;1350.0;260.0;24.0;40.91;Apartamento
Apartamento;Tijuca;3;1;1;90;2500.0;1350.0;0.0;27.78;Apartamento
Apartamento;Tijuca;1;0;0;50;1400.0;511.0;0.0;28.0;Apartamento
Apartamento;Tijuca;3;1;1;100;2300.0;690.0;0.0;23.0;Apartamento
Apartamento;Tijuca;3;1;0;90;2500.0;790.0;96.0;27.78;Apartamento
Apartamento;Tijuca;2;1;1;100;1800.0;727.0;102.0;18.0;Apartamento
Apartamento;Tijuca;3;0;0;122;1500.0;695.0;172.0;12.3;Apartamento
Apartamento;Tijuca;2;1;0;68;2000.0;705.0;99.0;29.41;Apartamento
Apartamento;Tijuca;2;1;0;83;2200.0;750.0;83.0;26.51;Apartamento
Apartamento;Tijuca;2;1;1;80;1800.0;600.0;21.0;22.5;Apartamento
Apartamento;Tijuca;3;1;1;80;2200.0;700.0;200.0;27.5;Apartamento
Apartamento;Tijuca;3;1;1;80;1900.0;982.0;113.0;23.75;Apartamento
Apartamento;Tijuca;2;1;0;72;2100.0;875.0;120.0;29.17;Apartamento
Apartamento;Tijuca;2;1;1;86;2500.0;714.0;0.0;29.07;Apartamento
Apartamento;Tijuca;2;1;0;68;1300.0;822.0;0.0;19.12;Apartamento
Apartamento;Tijuca;2;1;1;80;2000.0;500.0;94.0;25.0;Apartamento
Apartamento;Tijuca;2;1;1;70;2500.0;769.0;0.0;35.71;Apartamento
Apartamento;Tijuca;2;1;1;100;3100.0;700.0;0.0;31.0;Apartamento
Apartamento;Tijuca;2;0;0;60;1700.0;487.0;49.0;28.33;Apartamento
Apartamento;Tijuca;3;1;1;145;2800.0;950.0;154.0;19.31;Apartamento
